mustang.n.01	mammal.n.01
mustang.n.01	ungulate.n.01
mustang.n.01	odd-toed_ungulate.n.01
elk.n.01	mammal.n.01
elk.n.01	ungulate.n.01
elk.n.01	even-toed_ungulate.n.01
even-toed_ungulate.n.01	mammal.n.01
even-toed_ungulate.n.01	ungulate.n.01
squirrel.n.01	mammal.n.01
squirrel.n.01	rodent.n.01
beagle.n.01	carnivore.n.01
beagle.n.01	mammal.n.01
beagle.n.01	canine.n.02
beagle.n.01	dog.n.01
dog.n.01	carnivore.n.01
dog.n.01	mammal.n.01
dog.n.01	canine.n.02
liger.n.01	carnivore.n.01
liger.n.01	mammal.n.01
bison.n.01	mammal.n.01
bison.n.01	ungulate.n.01
bison.n.01	even-toed_ungulate.n.01
collie.n.01	carnivore.n.01
collie.n.01	mammal.n.01
collie.n.01	canine.n.02
collie.n.01	dog.n.01
odd-toed_ungulate.n.01	mammal.n.01
odd-toed_ungulate.n.01	ungulate.n.01
ungulate.n.01	mammal.n.01
german_shepherd.n.01	carnivore.n.01
german_shepherd.n.01	mammal.n.01
german_shepherd.n.01	canine.n.02
german_shepherd.n.01	dog.n.01
border_collie.n.01	carnivore.n.01
border_collie.n.01	mammal.n.01
border_collie.n.01	canine.n.02
border_collie.n.01	dog.n.01
cat.n.01	carnivore.n.01
cat.n.01	mammal.n.01
antelope.n.01	mammal.n.01
antelope.n.01	ungulate.n.01
antelope.n.01	even-toed_ungulate.n.01
domestic_cat.n.01	carnivore.n.01
domestic_cat.n.01	mammal.n.01
domestic_cat.n.01	cat.n.01
tiger.n.02	carnivore.n.01
tiger.n.02	mammal.n.01
rhinoceros.n.01	mammal.n.01
rhinoceros.n.01	ungulate.n.01
rhinoceros.n.01	odd-toed_ungulate.n.01
carnivore.n.01	mammal.n.01
canine.n.02	carnivore.n.01
canine.n.02	mammal.n.01
tiger_cat.n.01	carnivore.n.01
tiger_cat.n.01	mammal.n.01
tiger_cat.n.01	cat.n.01
lion.n.01	carnivore.n.01
lion.n.01	mammal.n.01
rodent.n.01	mammal.n.01
